1/11/16 20:43
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	#Files	
Total:            	    22764	  179723	                   907978	                         1069986	   267	
Pendientes:       	    19888	  170483	                   858911	                         1014460	   250	
Únicos:           	    18710	  169037	                   853104	                         1007491	   267	
Pendientes únicos:	    17957	  163652	                   824620	                          974754	   250	


Estadísticas por archivo individual:

Nombre de archivo                            	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
Language/subscripts.pod                      	            440	                 428	             398	                        397	             5178	               5164	           4941	                      4938	                             27337	                               27275	                           26196	                                      26188	                                    32320	                                      32248	                                  30961	                                             30950	
Language/syntax.pod                          	            302	                 288	             283	                        280	             2487	               2469	           2444	                      2440	                             12823	                               12734	                           12552	                                      12532	                                    15377	                                      15281	                                  15055	                                             15034	
Language/terms.pod                           	             99	                  95	              93	                         92	              694	                687	            681	                       679	                              3379	                                3346	                            3310	                                       3295	                                     3906	                                       3870	                                   3831	                                              3815	
Language/testing.pod                         	            248	                 242	             228	                        227	             2316	               2302	           2205	                      2203	                             12240	                               12166	                           11630	                                      11618	                                    14161	                                      14079	                                  13467	                                             13454	
Language/traps.pod                           	            149	                 132	             113	                        112	             1238	               1216	           1176	                      1172	                              5847	                                5727	                            5561	                                       5542	                                     7003	                                       6869	                                   6676	                                              6654	
Language/typesystem.pod                      	             26	                  16	              17	                         16	              113	                101	            102	                       101	                               532	                                 484	                             488	                                        484	                                      611	                                        561	                                    565	                                               561	
Language/unicode_entry.pod                   	            121	                 119	             114	                        114	             1243	               1239	           1223	                      1223	                              6628	                                6612	                            6537	                                       6537	                                     8135	                                       8117	                                   8032	                                              8032	
Language/unicode_texas.pod                   	             76	                  74	              73	                         73	              489	                485	            483	                       483	                              2337	                                2321	                            2310	                                       2310	                                     3878	                                       3860	                                   3848	                                              3848	
Language/variables.pod                       	            674	                 596	             515	                        509	             4551	               4468	           4189	                      4182	                             22980	                               22548	                           21219	                                      21180	                                    27799	                                      27323	                                  25762	                                             25720	
Type/Any.pod                                 	            113	                 106	              95	                         94	              863	                848	            831	                       830	                              3994	                                3908	                            3817	                                       3812	                                     4900	                                       4807	                                   4710	                                              4705	
